sentiment,total_trades,total_pnl,avg_pnl,median_pnl,std_pnl,win_rate_pct,avg_trade_size
Extreme Fear,10406,739110.24849,71.02731582644628,6.38805,1628.408341469025,76.2,5467.570418989045
Fear,29808,3357155.441642,112.62598770940687,6.3504830000000005,1344.778427010174,87.3,8041.140445182501
Neutral,18159,1292920.67555,71.19999314664905,4.583458,743.2128626515139,82.4,5556.444833415937
Greed,25176,2150129.272951,85.40392727005879,4.9276,1576.3947640275383,76.9,5438.671763981571
Extreme Greed,20853,2715171.310673,130.20530910051312,8.53074,1058.1261390742845,89.2,2779.563632091306
